model,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,matthews_corrcoef,cohen_kappa,log_loss,roc_auc_ovr
Hybrid,0.8498402555910544,0.8498402555910542,0.8783599271554406,0.8498402555910542,0.8528405990354059,0.8295554934558916,0.8248136315228967,0.36230210804410706,0.9875231426461919
RandomForest,0.3003194888178914,0.3003194888178914,0.3670141631053833,0.3003194888178914,0.31294812611513656,0.1927251643466784,0.18370607028753994,2.006227760971733,0.6865077947397353
GradientBoosting,0.2138293016887266,0.21382930168872663,0.34068282685875945,0.21382930168872663,0.23959915917604827,0.08770954393160729,0.08280085197018094,3.7371115580317786,0.6464703484921616
MLP,0.25969876768598815,0.25969876768598815,0.41272054320031826,0.25969876768598815,0.2891572593980234,0.15071004825863724,0.1363152289669861,9.838871418212575,0.6463218564278593
LogisticRegression,0.26905522592423553,0.26905522592423553,0.2636807092166499,0.26905522592423553,0.22378425820320233,0.1624138216574863,0.14723109691160796,8.195462226411138,0.6883961471777517
