model,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,matthews_corrcoef,cohen_kappa,log_loss,roc_auc_ovr
Hybrid,0.11455956184390689,0.11455956184390689,0.17044083780907165,0.11455956184390689,0.13655001634908479,-0.033916538721666764,-0.03301384451544198,2.1345713274166935,0.4818268558227117
RandomForest,0.11547238703788225,0.11547238703788225,0.17231111220762774,0.11547238703788225,0.1377052874391666,-0.032819998736008105,-0.03194888178913735,8.218463703746984,0.4490692877095719
GradientBoosting,0.13874942948425376,0.13874942948425376,0.3211752300778353,0.13874942948425376,0.19235045867158732,-0.005067475304099007,-0.004792332268370503,4.169257079446681,0.5708229376736762
MLP,0.104518484710178,0.104518484710178,0.16626311541565778,0.104518484710178,0.12829920606504924,-0.046744899993748944,-0.04472843450479225,16.099094370638028,0.4560004160694175
LogisticRegression,0.08763121862163396,0.08763121862163396,0.10219882561359753,0.08763121862163396,0.09273716743540772,-0.06616624723139165,-0.0644302449414269,8.850313020518703,0.5303983427216287
