model,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,matthews_corrcoef,cohen_kappa,log_loss,roc_auc_ovr
Hybrid,0.2879963486992241,0.28799634869922414,0.26416922494367034,0.28799634869922414,0.2740928475707133,0.17316717183735658,0.1693290734824282,5.716566060686457,0.5442980262463977
RandomForest,0.1063441350981287,0.1063441350981287,0.19616204690831557,0.1063441350981287,0.13286334839016928,-0.045024543256420455,-0.04259850905218321,10.154891390753228,0.4380639842826861
GradientBoosting,0.10588772250114104,0.10588772250114105,0.2974013350915247,0.10588772250114105,0.15502269511193065,-0.047490861122101685,-0.04313099041533541,3.9229831268370186,0.5952920481648957
MLP,0.14924691921497032,0.14924691921497035,0.19221861755991448,0.14924691921497035,0.16207910616344265,0.007822491705072607,0.007454739084132078,13.076331789784033,0.46790870192660555
LogisticRegression,0.09812870835235052,0.09812870835235052,0.12968947455900529,0.09812870835235052,0.11159622837893572,-0.0545909099028818,-0.052183173588924436,10.102353527352008,0.5017986739245505
